x;y;groupe;;;;;;;;;
407296.029;6731046.56;8;;;;;;;;;
397000.947;6677154.85;8;;;;;;;;;
423835.579;6746834.89;4;;;;;;;;;
405349.964;6747542.44;5;;;;;;;;;
465791.224;6813115.12;11;;;;;;;;;
451618.674;6808807.6;13;;;;;;;;;
428320.534;6745953.73;13;;;;;;;;;
420924.35;6816651.65;4;;;;;;;;;
425047.429;6764712.61;5;;;;;;;;;
458810.209;6805438.92;8;;;;;;;;;
442224.566;6748910.82;9;;;;;;;;;
445015.188;6765128.99;8;;;;;;;;;
447576.261;6776521.12;4;;;;;;;;;
409938.053;6749011.26;5;;;;;;;;;
470451.539;6819248.76;5;;;;;;;;;
435852.455;6787488.73;8;;;;;;;;;
472405.907;6779007.36;8;;;;;;;;;
499289.226;6792532.31;1;;;;;;;;;
496213.016;6728791.98;3;;;;;;;;;
536334.206;6769568.29;3;;;;;;;;;
408560.464;6630868.46;1;;;;;;;;;
407551.782;6594273.83;2;;;;;;;;;
387513.694;6593545.27;9;;;;;;;;;
392563.825;6609353.12;3;;;;;;;;;
364426.831;6656886.91;11;;;;;;;;;
373225.995;6611485.4;3;;;;;;;;;
400020.906;6605175.73;2;;;;;;;;;
391418.242;6634070.38;9;;;;;;;;;
397093.119;6600832.21;2;;;;;;;;;
414988.674;6617338.13;3;;;;;;;;;
396762.728;6614705.93;3;;;;;;;;;
400020.906;6605175.73;3;;;;;;;;;
402919.01;6650848.59;8;;;;;;;;;
402283.014;6654560.41;11;;;;;;;;;
414190.195;6640167.55;4;;;;;;;;;
346933.94;6601905.26;3;;;;;;;;;
333303.41;6615710.74;13;;;;;;;;;
390831.128;6639818.89;3;;;;;;;;;
397818.53;6611419.51;3;;;;;;;;;
237552.924;6816618.82;4;;;;;;;;;
324290.842;6830198.37;1;;;;;;;;;
229324.522;6844673.79;1;;;;;;;;;
221078.806;6843074;13;;;;;;;;;
299853.476;6837075.04;5;;;;;;;;;
321835.026;6841109.72;4;;;;;;;;;
321835.026;6841109.72;8;;;;;;;;;
235095.097;6825528.7;13;;;;;;;;;
221562.24;6835219.3;8;;;;;;;;;
248572.996;6873156.13;7;;;;;;;;;
223823.351;6826586.03;13;;;;;;;;;
218372.429;6801055.22;4;;;;;;;;;
224916.393;6847314.52;4;;;;;;;;;
232092.828;6833691.9;3;;;;;;;;;
168425.118;6814847.54;13;;;;;;;;;
185936.833;6789983.23;6;;;;;;;;;
185936.833;6789983.23;13;;;;;;;;;
182750.778;6784908.49;13;;;;;;;;;
203099.303;6775213.15;3;;;;;;;;;
191763.283;6838257;8;;;;;;;;;
173713.231;6855934.24;13;;;;;;;;;
199060.465;6863555.69;4;;;;;;;;;
148030.798;6790674.62;1;;;;;;;;;
209330.887;6825652.63;13;;;;;;;;;
364902.788;6776145.26;4;;;;;;;;;
356827.308;6834164.24;4;;;;;;;;;
346271.174;6780170.22;1;;;;;;;;;
355398.521;6775444.11;1;;;;;;;;;
340051.311;6748001.71;9;;;;;;;;;
348384.441;6773482.29;10;;;;;;;;;
394541.177;6793743.47;13;;;;;;;;;
337880.578;6802524.37;11;;;;;;;;;
376095.679;6806347.5;4;;;;;;;;;
334976.93;6793323.54;8;;;;;;;;;
333807.495;6841479.33;11;;;;;;;;;
386131.168;6782752.82;8;;;;;;;;;
342730.14;6773617.45;1;;;;;;;;;
359321.853;6793918.75;8;;;;;;;;;
384346.252;6764034.46;8;;;;;;;;;
397382.423;6811714.4;13;;;;;;;;;
344963.321;6794318.77;8;;;;;;;;;
351770.223;6789394.09;11;;;;;;;;;
340935.036;6755871.97;9;;;;;;;;;
376330.231;6756405.95;4;;;;;;;;;
354895.192;6796919.47;4;;;;;;;;;
245659.369;6788056.48;8;;;;;;;;;
284166.814;6793143.83;11;;;;;;;;;
269870.653;6768669.41;2;;;;;;;;;
264492.326;6782411.4;4;;;;;;;;;
232991.853;6788212.13;6;;;;;;;;;
289023.41;6776935.67;1;;;;;;;;;
217685.076;6756591.96;8;;;;;;;;;
306253.983;6735543.23;8;;;;;;;;;
265838.876;6762182.28;11;;;;;;;;;
277266.714;6733823.24;7;;;;;;;;;
298722.924;6779444.95;4;;;;;;;;;
296829.92;6754768.47;4;;;;;;;;;
245339.647;6781422.66;7;;;;;;;;;
528123.113;6534754.88;13;;;;;;;;;
479177.193;6472787.38;1;;;;;;;;;
523683.263;6549936.56;4;;;;;;;;;
417167.879;6566601.81;1;;;;;;;;;
437209.836;6503233.28;1;;;;;;;;;
435992.474;6486677.22;5;;;;;;;;;
636357.977;6452925.84;2;;;;;;;;;
602107.574;6469175.51;8;;;;;;;;;
591155.936;6443561.08;13;;;;;;;;;
598031.376;6490462.87;10;;;;;;;;;
632240.227;6578095.05;4;;;;;;;;;
592660.45;6540952.29;11;;;;;;;;;
614748.941;6527024.26;4;;;;;;;;;
645523.917;6550352.03;10;;;;;;;;;
661371.512;6563354.76;13;;;;;;;;;
625475.856;6534586.69;13;;;;;;;;;
660790.636;6534427.6;4;;;;;;;;;
561495.517;6427341.15;4;;;;;;;;;
550135.212;6491346.49;1;;;;;;;;;
525618.529;6459166.03;1;;;;;;;;;
528784.808;6435689.43;9;;;;;;;;;
508897.337;6410068.21;13;;;;;;;;;
520624.848;6424224.42;14;;;;;;;;;
500513.122;6485592.1;12;;;;;;;;;
508477.764;6466495.07;4;;;;;;;;;
505102.251;6452965.78;1;;;;;;;;;
446701.919;6316988.5;3;;;;;;;;;
410346.925;6290074.01;3;;;;;;;;;
371184.161;6294443.14;15;;;;;;;;;
412597.99;6281209.47;3;;;;;;;;;
395737.491;6309431.3;13;;;;;;;;;
395890.561;6304986.76;3;;;;;;;;;
494012.031;6333230.02;5;;;;;;;;;
503426.221;6385270.09;2;;;;;;;;;
488996.585;6402373.19;15;;;;;;;;;
486317.093;6402544.3;15;;;;;;;;;
532347.878;6352626.45;5;;;;;;;;;
490178.181;6390652.54;4;;;;;;;;;
525739.226;6350181.96;15;;;;;;;;;
512398.582;6332300.56;15;;;;;;;;;
432058.771;6276745.05;3;;;;;;;;;
440579.192;6238059.24;12;;;;;;;;;
448762.347;6262652.74;15;;;;;;;;;
438630.401;6266798.02;4;;;;;;;;;
452907.55;6269305.05;4;;;;;;;;;
423329.691;6569651.42;5;;;;;;;;;
414906.779;6660055.37;10;;;;;;;;;
426522.088;6655123.63;13;;;;;;;;;
444457.1;6622875.83;13;;;;;;;;;
